Location,location_clean,population,population_millions,world_share_pct,date_parsed,source_clean,notes_clean
World,World,8232000000.0,8232.0,100.0,2025-06-13,UN projection[1][3],
India,India,1417492000.0,1417.492,17.2,2025-07-01,Official projection[4],[b]
China,China,1404890000.0,1404.89,17.0,2025-12-31,Official estimate[5],[c]
United States,United States,341784857.0,341.784857,4.1,2025-07-01,Official estimate[6],[d]
Indonesia,Indonesia,288315089.0,288.315089,3.5,2025-12-31,National annual projection[7],
Pakistan,Pakistan,241499431.0,241.499431,2.9,2023-03-01,2023 census result[8],[e]
Nigeria,Nigeria,223800000.0,223.8,2.7,2023-07-01,Official projection[9],
Brazil,Brazil,213421037.0,213.421037,2.6,2025-07-01,Official estimate[10],
Bangladesh,Bangladesh,169828911.0,169.828911,2.1,2022-06-14,2022 census result[11],[f]
Russia,Russia,146028325.0,146.028325,1.8,2025-01-01,Official estimate[13],[g]
Mexico,Mexico,131150866.0,131.150866,1.6,2026-03-31,National quarterly estimate[14],
Japan,Japan,122810000.0,122.81,1.5,2026-05-01,Monthly national estimate[15],
Philippines,Philippines,114123600.0,114.1236,1.4,2025-07-01,Official projection[16],
Democratic Republic of the Congo,Democratic Republic of the Congo,112832000.0,112.832,1.4,2025-07-01,UN projection[17],
Ethiopia,Ethiopia,111652998.0,111.652998,1.4,2025-07-01,National annual projection[18],
Egypt,Egypt,108613296.0,108.613296,1.3,2026-01-01,Official estimate[19],
Vietnam,Vietnam,102300000.0,102.3,1.2,2025-12-31,Official estimate[20],
Iran,Iran,87134000.0,87.134,1.1,2026-03-21,Official estimate[21],
Turkey,Turkey,86092168.0,86.092168,1.0,2025-12-31,Official estimate[22],
Germany,Germany,83497147.0,83.497147,1.0,2025-09-30,National quarterly estimate[23],
United Kingdom,United Kingdom,69487000.0,69.487,0.8,2025-06-30,Official estimate[24],[h]
France,France,69081996.0,69.081996,0.8,2026-01-01,Yearly national estimate[25],[i]
Tanzania,Tanzania,68153004.0,68.153004,0.8,2025-07-01,Official projection[26],[j]
Thailand,Thailand,65826149.0,65.826149,0.8,2025-11-30,Monthly national estimate[27],
South Africa,South Africa,63100945.0,63.100945,0.8,2025-06-30,Official estimate[28],
Italy,Italy,58932330.0,58.93233,0.7,2026-02-28,Monthly national estimate[29],
Kenya,Kenya,53330978.0,53.330978,0.6,2025-07-01,Official projection[30],
Colombia,Colombia,53057212.0,53.057212,0.6,2025-01-01,Official projection[31],
Sudan,Sudan,51662000.0,51.662,0.6,2025-07-01,UN projection[32],
Myanmar,Myanmar,51375327.0,51.375327,0.6,2024-10-15,2024 census result[33],[k]
South Korea,South Korea,51111158.0,51.111158,0.6,2026-01-31,Monthly national estimate[35],
Spain,Spain,49687120.0,49.68712,0.6,2026-04-01,National quarterly estimate[36],
Algeria,Algeria,47400000.0,47.4,0.6,2025-01-01,National annual projection[37],
Argentina,Argentina,46387098.0,46.387098,0.6,2025-07-01,National annual projection[38],
Iraq,Iraq,46118793.0,46.118793,0.6,2024-11-21,2024 census result[39],
Uganda,Uganda,45905417.0,45.905417,0.6,2024-05-10,2024 census result[40],
Afghanistan,Afghanistan,43844000.0,43.844,0.5,2025-07-01,UN projection[41][42] (see note),[l]
Canada,Canada,41472081.0,41.472081,0.5,2026-01-01,National quarterly estimate[49],
Angola,Angola,38778554.0,38.778554,0.5,2026-01-01,National Estimate[50],
Uzbekistan,Uzbekistan,38382685.0,38.382685,0.5,2026-04-01,Official estimate[51],
Poland,Poland,37281000.0,37.281,0.5,2026-03-31,Monthly national estimate[52],
Morocco,Morocco,36828330.0,36.82833,0.4,2024-09-01,2024 census result[53],[m]
Saudi Arabia,Saudi Arabia,35300280.0,35.30028,0.4,2024-07-01,Official estimate[54],
Malaysia,Malaysia,34374300.0,34.3743,0.4,2026-03-31,National quarterly estimate[55],
Peru,Peru,34350244.0,34.350244,0.4,2025-07-01,National annual projection[56],
Mozambique,Mozambique,34090466.0,34.090466,0.4,2025-07-01,National annual projection[57],
Ghana,Ghana,33742380.0,33.74238,0.4,2025-07-01,National annual projection[58],
Yemen,Yemen,32684503.0,32.684503,0.4,2023-07-01,Official estimate[59],
Madagascar,Madagascar,31727042.0,31.727042,0.4,2025-07-01,National annual projection[60],
Ivory Coast,Ivory Coast,31719275.0,31.719275,0.4,2024-12-31,National annual projection[61],
Nepal,Nepal,29911840.0,29.91184,0.4,2025-11-25,National annual projection[62],
Cameroon,Cameroon,29442327.0,29.442327,0.4,2025-07-01,National annual projection[63],
Ukraine,Ukraine,28700000.0,28.7,0.3,2025-09-01,State migration service[64],[n]
Venezuela,Venezuela,28517000.0,28.517,0.3,2025-07-01,UN projection[65],
