group,position,team
A,1,Mexico
A,2,Czechia
A,3,South Korea
A,4,South Africa
B,1,Canada
B,2,Bosnia-Herzegovina
B,3,Qatar
B,4,Switzerland
C,1,Scotland
C,2,Brazil
C,3,Haiti
C,4,Morocco
D,1,USA
D,2,Australia
D,3,Paraguay
D,4,Turkiye
E,1,Ivory Coast
E,2,Curaçao
E,3,Ecuador
E,4,Germany
F,1,Japan
F,2,Netherlands
F,3,Sweden
F,4,Tunisia
G,1,Belgium
G,2,Egypt
G,3,Iran
G,4,New Zealand
H,1,Cape Verde
H,2,Saudi Arabia
H,3,Spain
H,4,Uruguay
I,1,Senegal
I,2,France
I,3,Iraq
I,4,Norway
J,1,Algeria
J,2,Argentina
J,3,Austria
J,4,Jordan
K,1,Colombia
K,2,Democratic Republic of the Congo
K,3,Portugal
K,4,Uzbekistan
L,1,Panama
L,2,Croatia
L,3,England
L,4,Ghana
